id,company_name,pincode,sector,purchase
1,Company_1,98694,food_industry,"[{'item': 'Brown Rice', 'price': 2.69, 'date': '2024-10-26', 'expiresAt': '2024-11-05', 'purchase_quantity': 42}, {'item': 'Rice Cakes', 'price': 1.99, 'date': '2025-07-12', 'expiresAt': '2025-07-22', 'purchase_quantity': 13}, {'item': 'Brown Rice Cakes', 'price': 2.49, 'date': '2025-07-12', 'expiresAt': '2025-07-22', 'purchase_quantity': 47}]"
2,Company_2,98693,food_industry,"[{'item': 'Basmati Rice', 'price': 3.99, 'date': '2024-10-09', 'expiresAt': '2024-10-15', 'purchase_quantity': 12}, {'item': 'Rice Cakes', 'price': 1.99, 'date': '2025-07-12', 'expiresAt': '2025-07-22', 'purchase_quantity': 39}]"
3,Company_3,98696,fruit_vendor,"[{'item': 'Lemons', 'price': 0.69, 'date': '2024-12-08', 'expiresAt': '2024-12-18', 'purchase_quantity': 2}, {'item': 'Cherry Tomatoes', 'price': 2.79, 'date': '2024-09-05', 'expiresAt': '2024-09-15', 'purchase_quantity': 10}, {'item': 'Green Zucchini', 'price': 1.99, 'date': '2024-09-15', 'expiresAt': '2024-09-21', 'purchase_quantity': 43}]"
4,Company_4,98694,clubs_and_bars,"[{'item': 'Lemons', 'price': 0.69, 'date': '2024-12-08', 'expiresAt': '2024-12-18', 'purchase_quantity': 6}]"
5,Company_5,98696,bakeries_and_pastry,"[{'item': 'Gluten-Free Bread', 'price': 5.29, 'date': '2024-12-31', 'expiresAt': '2025-01-05', 'purchase_quantity': 40}, {'item': 'Whipping Cream', 'price': 2.99, 'date': '2024-10-06', 'expiresAt': '2024-10-16', 'purchase_quantity': 2}]"
6,Company_6,98696,food_industry,"[{'item': 'Brown Rice Cakes', 'price': 2.49, 'date': '2025-07-16', 'expiresAt': '2025-07-22', 'purchase_quantity': 4}, {'item': 'Rice Cakes', 'price': 1.99, 'date': '2025-07-12', 'expiresAt': '2025-07-22', 'purchase_quantity': 13}, {'item': 'Brown Rice', 'price': 2.69, 'date': '2024-10-30', 'expiresAt': '2024-11-05', 'purchase_quantity': 24}]"
7,Company_7,98694,clubs_and_bars,"[{'item': 'Avocados', 'price': 1.89, 'date': '2025-02-07', 'expiresAt': '2025-02-12', 'purchase_quantity': 7}]"
8,Company_8,98694,fruit_vendor,"[{'item': 'Lemons', 'price': 0.69, 'date': '2024-12-08', 'expiresAt': '2024-12-18', 'purchase_quantity': 32}]"
9,Company_9,98694,restaurants_and_cafe,"[{'item': 'Brown Rice', 'price': 2.69, 'date': '2024-10-31', 'expiresAt': '2024-11-05', 'purchase_quantity': 36}, {'item': 'Rice Cakes', 'price': 1.99, 'date': '2025-07-12', 'expiresAt': '2025-07-22', 'purchase_quantity': 24}]"
10,Company_10,98694,food_industry,"[{'item': 'Brown Rice', 'price': 2.69, 'date': '2024-10-30', 'expiresAt': '2024-11-05', 'purchase_quantity': 13}, {'item': 'Rice Cakes', 'price': 1.99, 'date': '2025-07-12', 'expiresAt': '2025-07-22', 'purchase_quantity': 36}]"
11,Company_11,98694,fruit_vendor,"[{'item': 'Green Zucchini', 'price': 1.99, 'date': '2024-09-11', 'expiresAt': '2024-09-21', 'purchase_quantity': 14}, {'item': 'Yellow Bell Peppers', 'price': 1.39, 'date': '2024-10-02', 'expiresAt': '2024-10-12', 'purchase_quantity': 35}, {'item': 'Instant Oatmeal with Fruits and Nuts', 'price': 4.29, 'date': '2025-02-14', 'expiresAt': '2025-02-19', 'purchase_quantity': 7}]"
12,Company_12,98693,clubs_and_bars,"[{'item': 'Avocados', 'price': 1.89, 'date': '2025-02-07', 'expiresAt': '2025-02-12', 'purchase_quantity': 17}]"
13,Company_13,98694,food_industry,"[{'item': 'Brown Rice Cakes', 'price': 2.49, 'date': '2025-07-16', 'expiresAt': '2025-07-22', 'purchase_quantity': 49}, {'item': 'Basmati Rice', 'price': 3.99, 'date': '2024-10-09', 'expiresAt': '2024-10-15', 'purchase_quantity': 47}]"
14,Company_14,98694,bakeries_and_pastry,"[{'item': 'Wheat Flour', 'price': 1.49, 'date': '2025-05-02', 'expiresAt': '2025-05-08', 'purchase_quantity': 39}, {'item': 'Cream Cheese', 'price': 2.89, 'date': '2024-11-07', 'expiresAt': '2024-11-12', 'purchase_quantity': 13}, {'item': 'Salted Butter', 'price': 4.19, 'date': '2024-11-16', 'expiresAt': '2024-11-22', 'purchase_quantity': 13}]"
15,Company_15,98693,restaurants_and_cafe,"[{'item': 'Organic Spinach', 'price': 2.99, 'date': '2024-10-20', 'expiresAt': '2024-10-25', 'purchase_quantity': 44}, {'item': 'Rye Bread', 'price': 4.59, 'date': '2024-09-21', 'expiresAt': '2024-09-27', 'purchase_quantity': 16}]"
16,Company_16,98694,bakeries_and_pastry,"[{'item': 'Garlic Naan Bread (2 pieces)', 'price': 2.29, 'date': '2025-04-29', 'expiresAt': '2025-05-09', 'purchase_quantity': 44}, {'item': 'Sourdough Bread', 'price': 5.29, 'date': '2024-09-21', 'expiresAt': '2024-09-27', 'purchase_quantity': 34}]"
17,Company_17,98694,food_industry,"[{'item': 'Basmati Rice', 'price': 3.99, 'date': '2024-10-10', 'expiresAt': '2024-10-15', 'purchase_quantity': 37}]"
18,Company_18,98694,clubs_and_bars,"[{'item': 'Avocados', 'price': 2.29, 'date': '2024-09-30', 'expiresAt': '2024-10-05', 'purchase_quantity': 27}, {'item': 'Avocados', 'price': 1.89, 'date': '2025-02-07', 'expiresAt': '2025-02-12', 'purchase_quantity': 50}]"
19,Company_19,98693,restaurants_and_cafe,"[{'item': 'Frozen Breaded Shrimp', 'price': 10.49, 'date': '2025-08-25', 'expiresAt': '2025-09-04', 'purchase_quantity': 28}, {'item': 'Gluten-Free Bread', 'price': 5.29, 'date': '2024-12-26', 'expiresAt': '2025-01-05', 'purchase_quantity': 21}, {'item': 'Gluten-Free Bread', 'price': 5.29, 'date': '2024-12-26', 'expiresAt': '2025-01-05', 'purchase_quantity': 42}]"
20,Company_20,98693,restaurants_and_cafe,"[{'item': 'Frozen Breaded Fish Sticks', 'price': 4.99, 'date': '2025-11-02', 'expiresAt': '2025-11-07', 'purchase_quantity': 49}]"
